details_id,Company,Level,Total_Applicants,Industry,Class,Job_skills 
dt_203,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,Microsoft Power BI
dt_204,Infor,Associate,32,Retail ,Class4,Sales
dt_205,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,Microsoft Azure
dt_206,Applicantz,Mid-Senior level,68,Online Audio and Video Media ,Class1,Python (Programming Language)
dt_207,S&P Global,Mid-Senior level,49,IT Services and IT Consulting ,Class3,Quality Assurance
dt_208,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,Linux
dt_209,Ami Lifesciences Pvt. Ltd.,Mid-Senior level,75,IT Services and IT Consulting ,Class2,Data Analysis
dt_210,Alp Consulting Ltd.,Mid-Senior level,11,Financial Services ,Class2,Core Java
dt_211,Wipro,Associate,100,IT Services and IT Consulting ,Class2,Financial Accounting
dt_212,Urban Company,Mid-Senior level,82,IT Services and IT Consulting ,Class2,Procurement
dt_213,HTC Global Services,Mid-Senior level,100,"Technology, Information and Internet ",Class5,Python (Programming Language)
dt_214,Advarra,Entry level,24,IT Services and IT Consulting ,Class2,Cell Biology
dt_215,Housr,Entry level,100,Telecommunications ,Class2,Writing
dt_216,Infosys,Entry level,100,Telecommunications ,Class2,Selenium
dt_217,Novo Nordisk,Mid-Senior level,43,IT Services and IT Consulting ,Class3,Office Administration
dt_218,Marsh McLennan,Mid-Senior level,100,Banking ,Class2,Java
dt_219,PTC,Mid-Senior level,57,Wholesale Building Materials ,Class2,Debugging Code
dt_220,HCLTech,Associate,100,IT Services and IT Consulting ,Class2,Banking
dt_221,LTIMindtree,Mid-Senior level,80,Airlines and Aviation ,Class2,Software Updates
dt_222,Happiest Minds Technologies,Director,55,Motor Vehicle Manufacturing ,Class2,Leadership
dt_223,WNS,Internship,13,Telecommunications ,Class5,Windows Desktop Administration
dt_224,Goldman Sachs,Mid-Senior level,0,"Technology, Information and Internet ",Class4,Python (Programming Language)
dt_225,EMotorad,Associate,82,Retail ,Class2,General Administration
dt_226,RADIANT,Mid-Senior level,1 applicant,Architecture and Planning ,Class1,Infrastructure
dt_227,Genpact,Mid-Senior level,79,Staffing and Recruiting ,Class4,Oracle SCM
dt_228,Sony India Software Centre,Mid-Senior level,69,Banking ,Class2,Office 365
dt_229,MRI Software,Mid-Senior level,100,Staffing and Recruiting ,Class1,Azure Data Factory
dt_230,Intel Corporation,Internship,100,Financial Services ,Class2,Very-Large-Scale Integration (VLSI)
dt_231,Truelancer.com,Mid-Senior level,100,Business Consulting and Services ,Class2,unknown
dt_232,KnowledgeWorks Global Ltd.,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Linux System Administration
dt_233,WN Infotech,Mid-Senior level,100,IT Services and IT Consulting ,Class3,unknown
dt_234,DataE2E Technologies,Mid-Senior level,100,IT Services and IT Consulting ,Class4,unknown
dt_235,Inteliwaves,Mid-Senior level,57,IT Services and IT Consulting ,Class2,unknown
dt_236,Synchrony,Mid-Senior level,1 applicant,Software Development ,Class6,Source to Pay
dt_237,Embee Software Pvt. Ltd.,Entry level,100,IT Services and IT Consulting ,Class1,Microsoft Azure
dt_238,Careernet,Mid-Senior level,8,Information Technology & Services ,Class5,Front-End Development
dt_239,slice,Mid-Senior level,68,Computer Networking ,Class5,Payment Card Industry Data Security Standard (PCI DSS)
dt_240,Tata Consultancy Services,Associate,99,IT Services and IT Consulting ,Class2,Windows Administration
dt_241,H&M,Mid-Senior level,56,Staffing and Recruiting ,Class2,Business Case Preparation
dt_242,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class2,JavaScript
dt_243,Genpact,Mid-Senior level,100,Staffing and Recruiting ,Class4,Financial Reporting
dt_244,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class2,DevOps
dt_245,ZARA SA,Mid-Senior level,23,IT Services and IT Consulting ,Class3,unknown
dt_246,SLB,Associate,96,Financial Services ,Class2,Technical Files
dt_247,Allianz Partners,Entry level,39,Pharmaceutical Manufacturing ,Class1,Business Ethics
dt_248,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,Microsoft Azure
dt_249,IKEA,Mid-Senior level,100,Advertising Services ,Class4,Key Account Management
dt_250,Gestamp,Mid-Senior level,100,IT Services and IT Consulting ,Class3,Microsoft Office
dt_251,PeopleLogic,Associate,100,IT Services and IT Consulting ,Class2,Web Application Development
dt_252,Tata Consultancy Services,Associate,100,IT Services and IT Consulting ,Class2,Python (Programming Language)
dt_253,Thomson Reuters,Associate,100,IT Services and IT Consulting ,Class1,Microsoft SQL Server
dt_254,Infosys,Entry level,100,Telecommunications ,Class2,Account Planning
dt_255,Tata Consultancy Services,Mid-Senior level,63,IT Services and IT Consulting ,Class2,1 of 1 skill matches your profile - you may be a good fit
dt_256,Ford Motor Solutions,Mid-Senior level,100,Motor Vehicle Manufacturing ,Class2,Airlines
dt_257,TELUS International AI Data Solutions,Entry level,28,IT Services and IT Consulting ,Class3,English
dt_258,HP,Mid-Senior level,32,Financial Services ,Class2,SAP APO
dt_259,Airtel Payments Bank,Mid-Senior level,35,Airlines and Aviation ,Class2,Back-End Web Development
dt_260,Atos,Mid-Senior level,1 applicant,IT Services and IT Consulting ,Class2,Databases
dt_261,Tata Consultancy Services,Mid-Senior level,82,IT Services and IT Consulting ,Class2,Microsoft Azure
dt_262,Infosys Finacle,Mid-Senior level,100,IT Services and IT Consulting ,Class3,JavaScript
dt_263,Tata Consultancy Services,Mid-Senior level,94,IT Services and IT Consulting ,Class2,Storage Architecture
dt_264,SMC Squared India,Mid-Senior level,14,Software Development ,Class3,ABAP
dt_265,ManipalCigna Health Insurance Company Ltd.,Mid-Senior level,84,Pharmaceutical Manufacturing ,Class2,SQL
dt_266,Tata Consultancy Services,Associate,22,IT Services and IT Consulting ,Class2,Hadoop
dt_267,Unisys,Associate,26,"Technology, Information and Internet ",Class4,Microsoft SQL Server
dt_268,Infosys,Entry level,40,Telecommunications ,Class2,System Requirements
dt_269,Genpact,Associate,100,Staffing and Recruiting ,Class4,English
dt_270,Hitachi Energy,Entry level,67,Business Consulting and Services ,Class2,Cascading Style Sheets (CSS)
dt_271,Deloitte,Director,46,Staffing and Recruiting ,Class4,Goods and Services Tax (GST)
dt_272,Genpact,Mid-Senior level,100,Staffing and Recruiting ,Class4,Programme Governance
dt_273,Syngene International Limited,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Internal Audits
dt_274,Volvo Group,Mid-Senior level,96,IT Services and IT Consulting ,Class3,Trade Compliance
dt_275,GEP Worldwide,Mid-Senior level,100,Manufacturing ,Class2,Analytics
dt_276,Genpact,Entry level,6,Staffing and Recruiting ,Class4,Analytical Skills
dt_277,Tech Mahindra,Mid-Senior level,83,Outsourcing and Offshoring Consulting ,Class2,unknown
dt_278,Premier International,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Data Engineering
dt_279,SurveySparrow,Entry level,100,E-Learning Providers ,Class4,Vulnerability Assessment and Penetration Testing (VAPT)
dt_280,Blenheim Chalcot India,Mid-Senior level,19,"Technology, Information and Internet ",Class4,Back-End Web Development
dt_281,Tata Consultancy Services,Associate,46,IT Services and IT Consulting ,Class2,1 of 1 skill matches your profile - you may be a good fit
dt_282,OYO,Associate,100,Environmental Services ,Class1,Bank Reconciliation
dt_283,ROYALCHEMICALS,Mid-Senior level,41,Retail ,Class2,Office Operations
dt_284,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Microsoft Azure
dt_285,JioSaavn,Associate,100,"Technology, Information and Media ",Class1,Microsoft Excel
dt_286,Goldman Sachs,Mid-Senior level,4,"Technology, Information and Internet ",Class4,NoSQL
dt_287,Isha Foundation,Mid-Senior level,100,IT Services and IT Consulting ,Class1,unknown
dt_288,Lepton Software,Executive,100,IT Services and IT Consulting ,Class3,ArcGIS Server
dt_289,NICE,Mid-Senior level,15,IT Services and IT Consulting ,Class3,unknown
dt_290,Hilti India,Mid-Senior level,27,Retail ,Class4,Software Sales
dt_291,Enphase Energy,Mid-Senior level,16,Medical Device ,Class4,Electromechanics
dt_292,Curefit - house of cult,Associate,11,Advertising Services ,Class5,Sales Trainings
dt_293,Applied Materials,Mid-Senior level,8,IT Services and IT Consulting ,Class2,Statutory Accounting Principles (SAP)
dt_294,Atlas Copco Group,Mid-Senior level,25,Software Development ,Class1,Leadership
dt_295,LTIMindtree,Mid-Senior level,43,Airlines and Aviation ,Class2,unknown
dt_296,Tata Consultancy Services,Mid-Senior level,63,IT Services and IT Consulting ,Class2,Networking
dt_297,Wipro,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Full-Stack Development
dt_298,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,Microservices
dt_299,Nayara Energy,Entry level,40,IT Services and IT Consulting ,Class3,Security
dt_300,Syngenta,Mid-Senior level,40,Business Consulting and Services ,Class4,Pesticide
dt_301,HTC Global Services,Associate,100,"Technology, Information and Internet ",Class5,Business-to-Business (B2B)
dt_302,STEAG Energy Services (India) Pvt. Ltd,Mid-Senior level,100,Professional Services ,Class3,Power System Studies
dt_303,Lowe's India,Mid-Senior level,1 applicant,Software Development ,Class4,Databases
dt_304,Genpact,Director,84,Staffing and Recruiting ,Class4,Oracle SCM
dt_305,Anblicks,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Python (Programming Language)
dt_306,HCLTech,Entry level,36,IT Services and IT Consulting ,Class2,Communication
dt_307,Tata Consultancy Services,Mid-Senior level,41,IT Services and IT Consulting ,Class2,Database Administration
dt_308,Meine Kuche (I) Pvt. Ltd.,Mid-Senior level,2,IT Services and IT Consulting ,Class3,unknown
dt_309,HARMAN India,Mid-Senior level,100,Banking ,Class2,RTL Design
dt_310,Hitachi Energy,Mid-Senior level,66,Business Consulting and Services ,Class2,English
dt_311,Intozi,Mid-Senior level,100,Software Development ,Class4,6 of 10 skills match your profile - you may be a good fit
dt_312,InfoVision Inc.,Mid-Senior level,100,,Class1,Databases
dt_313,Firstsource,Mid-Senior level,100,Industrial Machinery Manufacturing ,Class2,unknown
dt_314,S&P Global,Mid-Senior level,35,IT Services and IT Consulting ,Class3,Quality Assurance
dt_315,Dun & Bradstreet Technology and Corporate Services India LLP,Associate,86,IT Services and IT Consulting ,Class2,3 of 3 skills match your profile - you may be a good fit
dt_316,Mobileum,Mid-Senior level,100,E-Learning Providers ,Class5,Signaling System 7 (SS7)
dt_317,Dover India,Entry level,100,IT Services and IT Consulting ,Class3,Communication
dt_318,Expert Global Group,Associate,100,Insurance ,Class2,Ansys Mechanical
dt_319,Careerfit.ai,Mid-Senior level,100,Non-profit Organizations ,Class1,unknown
dt_320,Restroworks,Mid-Senior level,100,Financial Services ,Class2,Salesforce.com Administration
dt_321,PloPdo,Entry level,7,Oil and Gas ,Class2,Google Sheets
dt_322,Tata Technologies,Entry level,100,Electric Power Generation ,Class2,Node.js
dt_323,BlackRock,Mid-Senior level,17,IT Services and IT Consulting ,Class2,Fine Tuning
dt_324,LTIMindtree,Entry level,100,Airlines and Aviation ,Class2,Licensing
dt_325,Allianz Partners,Entry level,25,Pharmaceutical Manufacturing ,Class1,Business Ethics
dt_326,Capgemini,Mid-Senior level,82,Staffing and Recruiting ,Class1,English
dt_327,Tata Consultancy Services,Mid-Senior level,25,IT Services and IT Consulting ,Class2,Cisco Meraki
dt_328,SurveySparrow,Entry level,100,E-Learning Providers ,Class4,Content Marketing
dt_329,Advantmed India LLP,Mid-Senior level,100,IT Services and IT Consulting ,Class3,Network Security
dt_330,Wipro,Mid-Senior level,79,IT Services and IT Consulting ,Class2,English
dt_331,Kotak Mahindra Bank,Mid-Senior level,100,Internet Publishing ,Class4,Content Management Systems (CMS)
dt_332,Airtel Business,Mid-Senior level,100,IT Services and IT Consulting ,Class1,Sales
dt_333,Fint Solutions,Mid-Senior level,100,IT Services and IT Consulting ,Class3,4 of 6 skills match your profile - you may be a good fit
dt_334,Mirchi,Mid-Senior level,100,Software Development ,Class2,Radio
dt_335,airtel,Mid-Senior level,57,Financial Services ,Class1,Financial Accounting
dt_336,Lowe's India,Mid-Senior level,33,Software Development ,Class4,Technical Requirements
dt_337,Genpact,Mid-Senior level,68,Staffing and Recruiting ,Class4,Supplier Relationship Management
dt_338,Ankyah Infinity Pvt. Ltd.,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Python (Programming Language)
dt_339,Tata Elxsi,Mid-Senior level,47,IT Services and IT Consulting ,Class3,Middleware
dt_340,Boeing,Mid-Senior level,21,"Technology, Information and Internet ",Class1,JavaScript
dt_341,Thiess,Mid-Senior level,22,Financial Services ,Class2,Mining
dt_342,Lennox India Technology Centre,Mid-Senior level,17,IT Services and IT Consulting ,Class3,ABAP
dt_343,WNS,Entry level,30,Telecommunications ,Class5,Internal & External Clients
dt_344,Wipro,Mid-Senior level,29,IT Services and IT Consulting ,Class2,Wireframing
dt_345,Tata Consultancy Services,Associate,53,IT Services and IT Consulting ,Class2,Data Engineering
dt_346,NetApp,Mid-Senior level,61,Pharmaceutical Manufacturing ,Class4,Technical Support
dt_347,Atlas Copco Group,Mid-Senior level,27,Software Development ,Class1,English
dt_348,Qrata,Associate,38,Staffing and Recruiting ,Class4,Trade Sales
dt_349,Fractal,Associate,6,IT Services and IT Consulting ,Class3,Python (Programming Language)
dt_350,Schbang,Entry level,100,Computers and Electronics Manufacturing ,Class5,Search Engine Optimization (SEO)
dt_351,SurveySparrow,Entry level,100,E-Learning Providers ,Class4,Business Development
dt_352,Flowserve Corporation,Entry level,3,"Technology, Information and Internet ",Class4,Statutory Accounting Principles (SAP)
dt_353,Games24x7,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Digital Marketing Channels
dt_354,Birlasoft,Mid-Senior level,9,IT Services and IT Consulting ,Class2,Extract
dt_355,Dover India,Mid-Senior level,78,IT Services and IT Consulting ,Class3,New Product Implementations
dt_356,Accenture in India,Entry level,1 applicant,Pharmaceutical Manufacturing ,Class1,Communication
dt_357,Sanofi,Entry level,4,Hospitality ,Class1,Data Governance
dt_358,Sanofi,Entry level,4,Hospitality ,Class1,Data Governance
dt_359,Sanofi,Entry level,4,Hospitality ,Class1,Data Governance
dt_360,Sanofi,Entry level,2,Hospitality ,Class1,Data Governance
dt_361,bytecitadel,Mid-Senior level,51,IT Services and IT Consulting ,Class3,unknown
dt_362,Synechron,Mid-Senior level,100,Pharmaceutical Manufacturing ,Class2,2 of 3 skills match your profile - you may be a good fit
dt_363,Broadcom,Mid-Senior level,100,Financial Services ,Class2,Systems Engineering
dt_364,UBS,Mid-Senior level,27,Software Development ,Class5,Process Modeling
dt_365,Hitachi Energy,Entry level,100,Business Consulting and Services ,Class2,Product Quality
dt_366,Juniper Networks,Mid-Senior level,30,IT Services and IT Consulting ,Class2,Extract
dt_367,Wipro,Associate,87,IT Services and IT Consulting ,Class2,Active Directory
dt_368,Blenheim Chalcot India,Entry level,57,"Technology, Information and Internet ",Class4,Data Science
dt_369,Infosys BPM,Entry level,100,Environmental Services ,Class2,Insurance
dt_370,Network18 Media & Investments Limited,Entry level,100,IT Services and IT Consulting ,Class2,Adobe Premiere Pro
dt_371,Wood Mackenzie,Mid-Senior level,61,Information Technology & Services ,Class5,Data Engineering
dt_372,Airtel Business,Mid-Senior level,100,IT Services and IT Consulting ,Class1,Account Management
dt_373,Tata Elxsi,Mid-Senior level,33,IT Services and IT Consulting ,Class3,Radio Frequency (RF)
dt_374,Northern Trust,Director,57,Outsourcing and Offshoring Consulting ,Class2,Client Presentation
dt_375,GE Vernova,Mid-Senior level,14,Banking ,Class2,Site Management
dt_376,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class1,unknown
dt_377,Accenture in India,Entry level,3,Pharmaceutical Manufacturing ,Class1,Communication
dt_378,UST,Mid-Senior level,100,Financial Services ,Class2,SQL
dt_379,SurveySparrow,Entry level,100,E-Learning Providers ,Class4,Salesforce Lightning
dt_380,ITC Infotech,Mid-Senior level,62,Motor Vehicle Manufacturing ,Class1,SAP Materials Management (SAP MM)
dt_381,Rently,Associate,100,Architecture and Planning ,Class1,Linux
dt_382,Astrosoft Technologies,Mid-Senior level,69,Business Consulting and Services ,Class2,Amazon Redshift
dt_383,Tata Consultancy Services,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Microsoft Exchange
dt_384,Accenture in India,Entry level,1 applicant,Pharmaceutical Manufacturing ,Class1,Communication
dt_385,Accenture in India,Entry level,1 applicant,Pharmaceutical Manufacturing ,Class1,Communication
dt_386,Accenture in India,Entry level,0,Pharmaceutical Manufacturing ,Class1,Communication
dt_387,AB InBev GCC India,Associate,55,IT Services and IT Consulting ,Class4,English
dt_388,The Timken Company,Mid-Senior level,33,Software Development ,Class4,Process Auditing
dt_389,Tata Technologies,Mid-Senior level,100,Electric Power Generation ,Class2,Hypermesh
dt_390,Google,Mid-Senior level,72,IT Services and IT Consulting ,Class3,Site Reliability Engineering
dt_391,Siemens Gamesa,Mid-Senior level,61,Semiconductor Manufacturing ,Class2,Site Management
dt_392,DIAGEO India,Associate,59,Staffing and Recruiting ,Class1,Analytical Skills
dt_393,Jubilant Generics Limited,Entry level,51,Book and Periodical Publishing ,Class4,Public Relations
dt_394,Cyfuture,Associate,100,Information Technology & Services ,Class1,Vendor Management
dt_395,Unacademy,Associate,100,IT Services and IT Consulting ,Class3,Interpersonal Communication
dt_396,Upstox,Mid-Senior level,56,IT Services and IT Consulting ,Class1,JavaScript
dt_397,Emerson,Mid-Senior level,11,IT Services and IT Consulting ,Class1,Regulatory Guidelines
dt_398,Accenture in India,Entry level,2,Pharmaceutical Manufacturing ,Class1,Communication
dt_399,Birlasoft,Mid-Senior level,6,IT Services and IT Consulting ,Class2,Resolving Issues
dt_400,Silicon Valley Bank,Entry level,100,Financial Services ,Class2,Control Testing
